episode_number,user_id,episode_id,source,created_at,updated_at,tv_show_name,episode_season_number
2,21667900,5001061,season-detail,2018-08-19 16:09:19,2018-08-19 16:09:19,The Originals,2
9,21667900,5001793,season-detail,2018-10-16 13:49:32,2018-10-16 13:49:32,Outlander,1
2,21667900,5005121,season-detail,2018-10-27 12:19:31,2018-10-27 12:19:31,Peaky Blinders,2
3,21667900,5005469,season-detail,2018-08-19 16:09:23,2018-08-19 16:09:23,The Originals,2
3,21667900,5008790,season-detail,2018-10-28 04:39:41,2018-10-28 04:39:41,Peaky Blinders,2
4,21667900,5008792,season-detail,2018-10-28 09:04:55,2018-10-28 09:04:55,Peaky Blinders,2
5,21667900,5008793,season-detail,2018-10-28 10:11:21,2018-10-28 10:11:21,Peaky Blinders,2
6,21667900,5008794,season-detail,2018-10-29 05:49:38,2018-10-29 05:49:38,Peaky Blinders,2
2,21667900,5010402,season-detail,2018-10-07 05:44:56,2018-10-07 05:44:56,The Affair,1
4,21667900,5010654,season-detail,2018-08-21 16:19:27,2018-08-21 16:19:27,The Originals,2
3,21667900,5011131,season-detail,2018-10-07 10:19:25,2018-10-07 10:19:25,The Affair,1
2,21667900,5013666,season-detail,2018-09-17 13:25:45,2018-09-17 13:25:45,The 100,2
4,21667900,5017568,season-detail,2018-10-07 11:20:41,2018-10-07 11:20:41,The Affair,1
5,21667900,5017569,season-detail,2018-10-07 12:48:34,2018-10-07 12:48:34,The Affair,1
3,21667900,5018484,season-detail,2018-09-18 16:05:07,2018-09-18 16:05:07,The 100,2
5,21667900,5018825,season-detail,2018-08-22 04:12:31,2018-08-22 04:12:31,The Originals,2
6,21667900,5019188,season-detail,2018-10-07 15:55:23,2018-10-07 15:55:23,The Affair,1
7,21667900,5024715,season-detail,2018-10-08 03:49:43,2018-10-08 03:49:43,The Affair,1
8,21667900,5024716,season-detail,2018-10-08 04:50:27,2018-10-08 04:50:27,The Affair,1
4,21667900,5025919,season-detail,2018-09-21 08:12:47,2018-09-21 08:12:47,The 100,2
6,21667900,5025931,season-detail,2018-08-22 04:59:14,2018-08-22 04:59:14,The Originals,2
5,21667900,5032892,season-detail,2018-09-21 09:34:38,2018-09-21 09:34:38,The 100,2
7,21667900,5033509,season-detail,2018-08-22 09:14:36,2018-08-22 09:14:36,The Originals,2
11,21667900,5038779,season-detail,2018-11-04 10:32:15,2018-11-04 10:32:15,The Fosters (2013),2
8,21667900,5039204,season-detail,2018-08-22 09:59:56,2018-08-22 09:59:56,The Originals,2
9,21667900,5040766,season-detail,2018-08-22 10:54:41,2018-08-22 10:54:41,The Originals,2
6,21667900,5044970,season-detail,2018-09-21 10:22:01,2018-09-21 10:22:01,The 100,2
7,21667900,5044972,season-detail,2018-09-21 11:51:28,2018-09-21 11:51:28,The 100,2
8,21667900,5044973,season-detail,2018-09-21 12:40:13,2018-09-21 12:40:13,The 100,2
9,21667900,5045682,season-detail,2018-09-21 16:24:13,2018-09-21 16:24:13,The 100,2
9,21667900,5054524,season-detail,2018-10-08 07:22:49,2018-10-08 07:22:49,The Affair,1
10,21667900,5054536,season-detail,2018-10-08 08:31:30,2018-10-08 08:31:30,The Affair,1
10,21667900,5059667,season-detail,2018-08-22 16:36:38,2018-08-22 16:36:38,The Originals,2
12,21667900,5068028,season-detail,2018-11-04 12:44:22,2018-11-04 12:44:22,The Fosters (2013),2
1,21667900,5069024,season-detail,2018-07-21 16:30:03,2018-07-21 16:30:03,Vikings,3
12,21667900,5076965,season-detail,2018-09-22 16:37:50,2018-09-22 16:37:50,The 100,2
14,21667900,5077943,season-detail,2018-09-28 11:09:08,2018-09-28 11:09:08,The 100,2
10,21667900,5077983,season-detail,2018-09-22 03:58:25,2018-09-22 03:58:25,The 100,2
11,21667900,5077984,season-detail,2018-09-22 04:45:52,2018-09-22 04:45:52,The 100,2
13,21667900,5077985,season-detail,2018-09-23 09:32:31,2018-09-23 09:32:31,The 100,2
11,21667900,5088551,season-detail,2018-08-22 16:36:39,2018-08-22 16:36:39,The Originals,2
12,21667900,5088552,season-detail,2018-08-23 16:39:11,2018-08-23 16:39:11,The Originals,2
13,21667900,5092765,season-detail,2018-11-04 12:44:23,2018-11-04 12:44:23,The Fosters (2013),2
2,21667900,5100641,season-detail,2018-07-22 04:49:57,2018-07-22 04:49:57,Vikings,3
3,21667900,5100642,season-detail,2018-07-22 05:36:13,2018-07-22 05:36:13,Vikings,3
10,21667900,5101005,season-detail,2018-10-16 16:37:24,2018-10-16 16:37:24,Outlander,1
11,21667900,5101006,season-detail,2018-10-17 04:30:10,2018-10-17 04:30:10,Outlander,1
12,21667900,5101007,season-detail,2018-10-17 07:31:12,2018-10-17 07:31:12,Outlander,1
13,21667900,5101008,season-detail,2018-10-17 07:31:16,2018-10-17 07:31:16,Outlander,1
14,21667900,5101009,season-detail,2018-10-17 10:00:17,2018-10-17 10:00:17,Outlander,1
15,21667900,5101010,season-detail,2018-10-17 11:35:31,2018-10-17 11:35:31,Outlander,1
16,21667900,5101011,season-detail,2018-10-18 05:36:04,2018-10-18 05:36:04,Outlander,1
14,21667900,5101800,season-detail,2018-11-04 16:28:28,2018-11-04 16:28:28,The Fosters (2013),2
15,21667900,5107957,season-detail,2018-11-05 04:48:51,2018-11-05 04:48:51,The Fosters (2013),2
13,21667900,5109801,season-detail,2018-08-23 16:39:11,2018-08-23 16:39:11,The Originals,2
16,21667900,5112304,season-detail,2018-11-05 04:48:53,2018-11-05 04:48:53,The Fosters (2013),2
14,21667900,5115386,season-detail,2018-08-24 16:14:48,2018-08-24 16:14:48,The Originals,2
17,21667900,5117903,season-detail,2018-11-05 05:46:12,2018-11-05 05:46:12,The Fosters (2013),2
18,21667900,5117904,season-detail,2018-11-05 11:01:30,2018-11-05 11:01:30,The Fosters (2013),2
20,21667900,5117905,season-detail,2018-11-05 12:20:33,2018-11-05 12:20:33,The Fosters (2013),2
15,21667900,5120992,season-detail,2018-08-25 16:50:56,2018-08-25 16:50:56,The Originals,2
16,21667900,5126016,season-detail,2018-08-25 16:50:57,2018-08-25 16:50:57,The Originals,2
4,21667900,5132143,season-detail,2018-07-22 09:52:27,2018-07-22 09:52:27,Vikings,3
6,21667900,5132145,season-detail,2018-07-22 12:36:36,2018-07-22 12:36:36,Vikings,3
19,21667900,5133426,season-detail,2018-11-05 11:01:31,2018-11-05 11:01:31,The Fosters (2013),2
21,21667900,5134167,season-detail,2018-11-05 15:58:52,2018-11-05 15:58:52,The Fosters (2013),2
7,21667900,5138070,season-detail,2018-07-22 14:12:43,2018-07-22 14:12:43,Vikings,3
8,21667900,5138071,season-detail,2018-07-22 15:17:18,2018-07-22 15:17:18,Vikings,3
9,21667900,5138072,season-detail,2018-07-22 16:02:47,2018-07-22 16:02:47,Vikings,3
10,21667900,5138073,season-detail,2018-07-23 11:13:48,2018-07-23 11:13:48,Vikings,3
17,21667900,5155796,season-detail,2018-08-26 04:58:11,2018-08-26 04:58:11,The Originals,2
18,21667900,5155797,season-detail,2018-08-27 09:48:13,2018-08-27 09:48:13,The Originals,2
19,21667900,5155800,season-detail,2018-08-27 16:07:05,2018-08-27 16:07:05,The Originals,2
1,21667900,5163468,season-detail,2018-10-01 06:28:06,2018-10-01 06:28:06,American Crime Story,1
5,21667900,5163922,season-detail,2018-07-22 10:41:33,2018-07-22 10:41:33,Vikings,3
20,21667900,5168894,season-detail,2018-08-28 16:26:48,2018-08-28 16:26:48,The Originals,2
21,21667900,5168895,season-detail,2018-08-29 10:18:24,2018-08-29 10:18:24,The Originals,2
22,21667900,5180723,season-detail,2018-08-29 11:02:47,2018-08-29 11:02:47,The Originals,2
1,21667900,5196896,season-detail,2018-11-05 16:55:12,2018-11-05 16:55:12,The Fosters (2013),3
2,21667900,5227976,season-detail,2018-11-06 04:10:55,2018-11-06 04:10:55,The Fosters (2013),3
3,21667900,5227977,season-detail,2018-11-06 05:04:22,2018-11-06 05:04:22,The Fosters (2013),3
