nb_episodes_seen,tv_show_name,user_id,tv_show_id,is_followed,is_favorited
0,Love & Death,21667900,402181,1,0
3,Komi Can't Communicate,21667900,402412,1,0
5,Silo,21667900,403245,1,0
16,"Twenty Five, Twenty One",21667900,403656,1,0
0,Kaleidoscope (2023),21667900,410092,1,0
3,House of Secrets: The Burari Deaths,21667900,410156,1,0
20,The Glory,21667900,411469,1,0
7,3 Body Problem,21667900,411959,1,0
0,The Boys Presents: Diabolical,21667900,413188,1,0
8,Presumed Innocent,21667900,415738,1,0
0,Daisy Jones and The Six,21667900,416580,1,0
7,Baby Reindeer,21667900,417223,1,0
1,Extraordinary Attorney Woo,21667900,419950,1,0
12,Summer Strike,21667900,424418,1,0
4,One Hundred Years of Solitude,21667900,426288,1,0
6,My Demon,21667900,429870,1,0
0,MH370: The Plane That Disappeared,21667900,431139,1,0
6,A Knight of the Seven Kingdoms,21667900,433631,1,0
13,PLUR1BUS,21667900,436457,1,0
