episode_number,user_id,episode_id,watched_on_source_id,created_at,updated_at,tv_show_name,episode_season_number
4,21667900,6235145,1,2018-07-10 16:21:08,2018-07-10 16:21:08,Game of Thrones,7
12,21667900,6247595,1,2019-06-12 10:33:40,2019-06-12 10:33:40,The Good Place,2
1,21667900,6274988,1,2018-10-23 14:41:35,2018-10-23 14:41:35,Godless,1
7,21667900,6274994,1,2018-10-23 14:42:25,2018-10-23 14:42:25,Godless,1
7,21667900,6275142,1,2018-07-10 16:21:19,2018-07-10 16:21:19,Game of Thrones,7
1,21667900,6297940,1,2019-01-03 16:29:14,2019-01-03 16:29:14,Howards End,1
3,21667900,6297942,1,2019-01-05 16:27:31,2019-01-05 16:27:31,Howards End,1
4,21667900,6297943,1,2019-01-07 10:57:39,2019-01-07 10:57:39,Howards End,1
1,21667900,6327940,1,2019-06-01 03:18:53,2019-06-01 03:18:53,Dark,1
2,21667900,6347551,1,2019-06-01 04:07:22,2019-06-01 04:07:22,Dark,1
3,21667900,6347552,1,2019-06-01 04:48:29,2019-06-01 04:48:29,Dark,1
4,21667900,6347553,1,2019-06-01 05:55:34,2019-06-01 05:55:34,Dark,1
5,21667900,6347554,1,2019-06-01 08:26:25,2019-06-01 08:26:25,Dark,1
6,21667900,6347555,1,2019-06-01 09:19:10,2019-06-01 09:19:10,Dark,1
7,21667900,6347556,1,2019-06-01 10:20:03,2019-06-01 10:20:03,Dark,1
8,21667900,6347557,1,2019-06-02 04:15:13,2019-06-02 04:15:13,Dark,1
9,21667900,6347558,1,2019-06-02 06:05:15,2019-06-02 06:05:15,Dark,1
10,21667900,6347559,1,2019-06-02 08:44:09,2019-06-02 08:44:09,Dark,1
2,21667900,6352961,1,2019-06-15 04:17:22,2019-06-15 04:17:22,Babylon Berlin,1
3,21667900,6352962,1,2019-06-15 09:41:35,2019-06-15 09:41:35,Babylon Berlin,1
8,21667900,6379885,1,2018-08-11 09:40:31,2018-08-11 09:40:31,The End of the F***ing World,1
15,21667900,6472375,1,2018-12-21 11:27:10,2018-12-21 11:27:10,Money Heist,1
1,21667900,6499743,1,2019-06-03 09:38:20,2019-06-03 09:38:20,Killing Eve,1
14,21667900,6504114,4,2021-02-15 08:16:29,2021-02-15 08:16:29,The Seven Deadly Sins,2
20,21667900,6504120,4,2021-02-16 04:49:49,2021-02-16 04:49:49,The Seven Deadly Sins,2
24,21667900,6510565,3,2020-09-08 06:40:51,2020-09-08 06:40:51,DARLING in the FRANXX,1
1,21667900,6530568,1,2020-04-09 13:44:23,2020-04-09 13:44:23,Tom Clancy's Jack Ryan,1
1,21667900,6538598,1,2020-03-19 10:35:32,2020-03-19 10:35:32,Westworld,2
2,21667900,6545667,1,2020-04-11 09:18:43,2020-04-11 09:18:43,Tom Clancy's Jack Ryan,1
3,21667900,6545668,1,2020-04-14 10:09:30,2020-04-14 10:09:30,Tom Clancy's Jack Ryan,1
4,21667900,6545669,1,2020-04-15 16:22:06,2020-04-15 16:22:06,Tom Clancy's Jack Ryan,1
8,21667900,6548886,1,2022-07-03 01:00:15,2022-07-03 01:00:15,My Mister,1
16,21667900,6548894,1,2022-07-06 03:28:20,2022-07-06 03:28:20,My Mister,1
2,21667900,6589247,1,2019-06-04 04:48:23,2019-06-04 04:48:23,Killing Eve,1
3,21667900,6589248,1,2019-06-04 05:31:08,2019-06-04 05:31:08,Killing Eve,1
2,21667900,6605060,1,2018-11-21 04:48:58,2018-11-21 04:48:58,My Brilliant Friend,1
5,21667900,6605069,1,2018-12-03 12:19:07,2018-12-03 12:19:07,My Brilliant Friend,1
6,21667900,6605070,1,2018-12-04 09:17:46,2018-12-04 09:17:46,My Brilliant Friend,1
7,21667900,6605071,1,2018-12-11 05:15:44,2018-12-11 05:15:44,My Brilliant Friend,1
1,21667900,6646752,1,2018-12-31 16:34:05,2018-12-31 16:34:05,Poldark (2015),4
1,21667900,6668931,1,2018-07-11 16:14:05,2018-07-11 16:14:05,Sharp Objects,1
12,21667900,6674483,1,2018-06-29 05:54:40,2018-06-29 05:54:40,13 Reasons Why,2
13,21667900,6674484,1,2018-06-29 05:54:02,2018-06-29 05:54:02,13 Reasons Why,2
1,21667900,6704749,1,2019-06-14 05:44:00,2019-06-14 05:44:00,The Good Place,3
2,21667900,6704751,1,2019-06-14 05:44:42,2019-06-14 05:44:42,The Good Place,3
3,21667900,6704933,1,2018-07-23 16:17:15,2018-07-23 16:17:15,Sharp Objects,1
