season_number,episode_number,episode_id,user_id,uuid,vote_key,series_name
3,4,6805102,21667900,24a3a577-f72c-4f80-b56f-521f64fc87ba,6805102-21667900-20,The Man in the High Castle
4,2,6809752,21667900,1989cfa4-418e-4edc-ab7e-4b7720247334,6809752-21667900-3,Lucifer
4,3,6813799,21667900,eae8926e-9793-402d-8259-a3b1cb9277a4,6813799-21667900-3,Lucifer
1,2,6827062,21667900,a986c070-53e3-4838-927f-e46ec04c7d71,6827062-21667900-3,Rascal Does Not Dream of Bunny Girl Senpai
1,3,6827063,21667900,b7c5cb59-21b8-464b-95c0-cdf01d86a767,6827063-21667900-3,Rascal Does Not Dream of Bunny Girl Senpai
1,4,6827064,21667900,0ed2bc2e-566a-45df-b8ec-ffdfb3effb41,6827064-21667900-29,Rascal Does Not Dream of Bunny Girl Senpai
1,6,6827066,21667900,e508815d-16fc-4b3e-b75b-a588524a53b7,6827066-21667900-3,Rascal Does Not Dream of Bunny Girl Senpai
1,7,6827067,21667900,3236df1a-929b-4789-8fd0-99638c1c56b8,6827067-21667900-3,Rascal Does Not Dream of Bunny Girl Senpai
1,8,6827069,21667900,4000e68a-2967-451f-9deb-26f9f58224d9,6827069-21667900-3,Rascal Does Not Dream of Bunny Girl Senpai
1,1,6866370,21667900,a154a5b6-b232-43bb-99bb-eae9583cc88c,6866370-21667900-29,Les Misérables (2018)
1,1,6866370,21667900,a154a5b6-b232-43bb-99bb-eae9583cc88c,6866370-21667900-5,Les Misérables (2018)
1,2,6866371,21667900,333c3aa4-dc05-45ee-b2cc-de0e2dbe74d5,6866371-21667900-3,Les Misérables (2018)
1,3,6866372,21667900,0021c965-bb1e-4a35-b5c8-d4ef93e4f364,6866372-21667900-3,Les Misérables (2018)
1,5,6866375,21667900,2c870c50-9885-4234-8acf-74e7741584e6,6866375-21667900-3,Les Misérables (2018)
1,6,6866376,21667900,60a34cdc-47e5-48e8-b3de-b964bc33d895,6866376-21667900-3,Les Misérables (2018)
1,13,6895534,21667900,9b421349-f827-47f1-a695-fb884062c970,6895534-21667900-3,Rascal Does Not Dream of Bunny Girl Senpai
1,4,6901192,21667900,21e26dc4-ef81-4611-9846-dd9ea91d0581,6901192-21667900-3,Better Than Us
2,2,6909600,21667900,6d69161c-3e9e-4732-a89d-c1ac1adcf28f,6909600-21667900-19,The Marvelous Mrs. Maisel
2,4,6909603,21667900,06d6ad04-f932-4c03-bf98-b6787875ed08,6909603-21667900-19,The Marvelous Mrs. Maisel
2,8,6909608,21667900,5bef52aa-79fa-4a0f-affe-6fb60058582b,6909608-21667900-18,The Marvelous Mrs. Maisel
2,8,6909608,21667900,5bef52aa-79fa-4a0f-affe-6fb60058582b,6909608-21667900-19,The Marvelous Mrs. Maisel
2,10,6909610,21667900,0c31be1b-82f7-4936-b6be-f81fe9673ec5,6909610-21667900-20,The Marvelous Mrs. Maisel
5,17,6968888,21667900,1b0879c8-3ed6-4f9f-89f2-491d9db14ca3,6968888-21667900-20,Vikings
3,14,7043113,21667900,7ad7c69b-451c-4923-bf05-2abf227d1d4b,7043113-21667900-5,This Is Us
2,2,7062895,21667900,f5d87653-be00-499f-800b-50ed13034d92,7062895-21667900-3,Killing Eve
3,1,7075645,21667900,bcfc9ae5-baad-42b1-b076-49fa7f871b2e,7075645-21667900-29,Harlots
1,4,7112028,21667900,c04a96ef-5e6d-46f7-a676-1a91d3cb07e4,7112028-21667900-3,Spinning Out
1,5,7116987,21667900,368e8004-b050-4452-9f11-279250fb94a8,7116987-21667900-3,Chernobyl
8,3,7121402,21667900,23c2800b-dd6a-4e35-bf2d-344970e096af,7121402-21667900-3,Game of Thrones
2,7,7123648,21667900,5da40a49-23d3-4c31-bd6b-15af1869412a,7123648-21667900-3,Killing Eve
1,1,7133857,21667900,1d44c494-9046-4c04-89ea-a5d9acaf8353,7133857-21667900-3,The Mandalorian
