folder_id,archived,created_at,diffusion,updated_at,active,notification_type,notification_offset,tv_show_name,user_id,tv_show_id
,0,2018-11-10 16:32:57,original,2018-11-10 16:32:57,1,2,1440,Red Band Society (US),21667900,281532
,0,2019-01-04 10:01:49,original,2019-01-04 10:01:49,1,2,1440,Forever (2014),21667900,281535
,0,2018-07-16 11:28:04,original,2018-07-16 11:28:04,1,2,1440,The Whispers,21667900,281536
,0,2018-11-14 11:02:56,original,2018-11-14 11:02:56,1,2,1440,American Crime,21667900,281613
,0,2018-06-27 08:49:11,original,2018-06-27 08:49:11,1,2,1440,How to Get Away with Murder,21667900,281620
,0,2018-08-15 08:53:06,original,2018-08-15 08:53:06,1,2,1440,Jane the Virgin,21667900,281621
,0,2018-10-05 06:12:24,original,2018-10-05 06:12:24,1,2,1440,Over the Garden Wall,21667900,281643
,0,2018-06-26 16:55:07,original,2018-06-26 16:55:07,1,2,1440,Marvel's Daredevil,21667900,281662
,0,2018-07-16 11:27:15,original,2018-07-16 11:27:15,1,2,1440,Stalker,21667900,281697
,0,2018-06-27 07:16:24,original,2018-06-27 07:16:24,1,2,1440,Ballers,21667900,281714
,0,2018-06-26 17:17:06,original,2018-06-26 17:17:06,1,2,1440,Wolf Hall,21667900,281977
,0,2022-02-17 04:57:38,original,2022-02-17 04:57:38,1,2,1440,BoJack Horseman,21667900,282254
,0,2018-07-16 11:25:16,original,2018-07-16 11:25:16,1,2,1440,Flesh and Bone,21667900,282400
,1,2018-06-26 14:43:24,original,2018-07-14 11:07:49,1,2,1440,Narcos,21667900,282670
,0,2018-06-26 17:24:53,original,2018-06-26 17:24:53,1,2,1440,The Returned (US),21667900,283317
,0,2021-02-20 06:41:35,original,2021-03-16 10:55:02,0,2,1440,Assassination Classroom,21667900,283947
,0,2021-02-09 08:46:31,original,2021-02-20 06:42:54,0,2,1440,The Seven Deadly Sins,21667900,284131
,0,2018-06-26 17:09:52,original,2018-06-26 17:09:52,1,2,1440,Marvel's Jessica Jones,21667900,284190
,0,2018-06-26 17:29:11,original,2018-06-26 17:29:11,1,2,1440,Colony,21667900,284210
,0,2018-11-10 06:50:53,original,2018-11-10 06:50:53,1,2,1440,London Spy,21667900,286179
,0,2018-09-29 08:52:01,original,2018-09-29 08:52:01,1,2,1440,Bloodline,21667900,287314
,0,2018-11-19 09:45:50,original,2018-11-19 09:45:50,1,2,1440,The Royals (2015),21667900,288963
,0,2018-09-12 11:58:08,original,2018-09-12 11:58:08,1,2,1440,The Shannara Chronicles,21667900,289096
,0,2018-07-09 15:28:24,original,2018-07-09 15:28:24,1,2,1440,American Crime Story,21667900,289108
,0,2018-10-01 08:19:03,original,2018-10-01 08:19:03,1,2,1440,Mr. Robot,21667900,289590
,0,2018-10-01 08:23:08,original,2018-10-01 08:23:08,1,2,1440,The Jinx,21667900,289946
,0,2018-12-21 05:28:28,original,2018-12-21 05:28:28,1,2,1440,The Night Manager,21667900,290508
,0,2018-07-16 10:27:29,original,2018-07-16 10:27:29,1,2,1440,The Heavy Water War,21667900,290668
,0,2018-09-02 13:40:05,original,2019-07-14 04:33:46,0,2,1440,Fear the Walking Dead,21667900,290853
,0,2020-03-18 11:00:46,original,2020-03-18 11:00:46,1,2,1440,Humans,21667900,292124
,0,2018-06-26 17:26:31,original,2018-06-26 17:26:31,1,2,1440,Dark Matter,21667900,292174
,0,2019-09-15 12:48:00,original,2019-09-15 12:48:05,0,2,1440,Someone Like You,21667900,292420
,0,2018-11-12 05:43:43,original,2018-11-12 05:43:43,1,2,1440,Stitchers,21667900,292745
