vote_key,episode_id,user_id,series_name,season_number,episode_number
5906287-21667900-18,5906287,21667900,Scum's Wish,1,3
5906287-21667900-19,5906287,21667900,Scum's Wish,1,3
5906287-21667900-15,5906287,21667900,Scum's Wish,1,3
5906287-21667900-30,5906287,21667900,Scum's Wish,1,3
5906287-21667900-28,5906287,21667900,Scum's Wish,1,3
5906288-21667900-30,5906288,21667900,Scum's Wish,1,4
5906288-21667900-28,5906288,21667900,Scum's Wish,1,4
5906288-21667900-27,5906288,21667900,Scum's Wish,1,4
5906288-21667900-29,5906288,21667900,Scum's Wish,1,4
5906288-21667900-15,5906288,21667900,Scum's Wish,1,4
5906288-21667900-18,5906288,21667900,Scum's Wish,1,4
5937312-21667900-25,5937312,21667900,House of Cards (US),5,2
5937312-21667900-24,5937312,21667900,House of Cards (US),5,2
5937312-21667900-28,5937312,21667900,House of Cards (US),5,2
5937312-21667900-13,5937312,21667900,House of Cards (US),5,2
5964888-21667900-21,5964888,21667900,Babylon Berlin,1,1
5964888-21667900-38,5964888,21667900,Babylon Berlin,1,1
5964888-21667900-13,5964888,21667900,Babylon Berlin,1,1
5972910-21667900-28,5972910,21667900,The Leftovers,3,5
5972910-21667900-38,5972910,21667900,The Leftovers,3,5
6023980-21667900-30,6023980,21667900,Better Call Saul,3,2
6023980-21667900-28,6023980,21667900,Better Call Saul,3,2
6023992-21667900-28,6023992,21667900,Better Call Saul,3,5
6024003-21667900-28,6024003,21667900,Better Call Saul,3,9
6024003-21667900-30,6024003,21667900,Better Call Saul,3,9
6024007-21667900-30,6024007,21667900,Better Call Saul,3,10
6024007-21667900-28,6024007,21667900,Better Call Saul,3,10
6049877-21667900-30,6049877,21667900,The Leftovers,3,8
6049877-21667900-28,6049877,21667900,The Leftovers,3,8
6094695-21667900-30,6094695,21667900,A Silent Voice,1,1
6094695-21667900-15,6094695,21667900,A Silent Voice,1,1
6104951-21667900-24,6104951,21667900,Ozark,1,1
6104951-21667900-25,6104951,21667900,Ozark,1,1
6104951-21667900-28,6104951,21667900,Ozark,1,1
6104952-21667900-13,6104952,21667900,Ozark,1,2
6104952-21667900-28,6104952,21667900,Ozark,1,2
6104952-21667900-24,6104952,21667900,Ozark,1,2
6104952-21667900-25,6104952,21667900,Ozark,1,2
6140534-21667900-13,6140534,21667900,The Good Place,2,1
6140534-21667900-25,6140534,21667900,The Good Place,2,1
6141745-21667900-13,6141745,21667900,The Good Place,2,2
6141746-21667900-13,6141746,21667900,The Good Place,2,3
6141747-21667900-13,6141747,21667900,The Good Place,2,4
6141748-21667900-13,6141748,21667900,The Good Place,2,5
6141749-21667900-13,6141749,21667900,The Good Place,2,6
6141750-21667900-13,6141750,21667900,The Good Place,2,7
6141751-21667900-24,6141751,21667900,The Good Place,2,8
6141751-21667900-28,6141751,21667900,The Good Place,2,8
6141751-21667900-13,6141751,21667900,The Good Place,2,8
6172291-21667900-13,6172291,21667900,Ozark,1,3
6172291-21667900-25,6172291,21667900,Ozark,1,3
6172292-21667900-13,6172292,21667900,Ozark,1,4
6172292-21667900-25,6172292,21667900,Ozark,1,4
6172293-21667900-25,6172293,21667900,Ozark,1,5
6172294-21667900-24,6172294,21667900,Ozark,1,6
6172294-21667900-25,6172294,21667900,Ozark,1,6
6172294-21667900-28,6172294,21667900,Ozark,1,6
6172295-21667900-24,6172295,21667900,Ozark,1,7
6172295-21667900-28,6172295,21667900,Ozark,1,7
6172295-21667900-25,6172295,21667900,Ozark,1,7
6172296-21667900-21,6172296,21667900,Ozark,1,8
6172296-21667900-38,6172296,21667900,Ozark,1,8
6172296-21667900-25,6172296,21667900,Ozark,1,8
6172297-21667900-13,6172297,21667900,Ozark,1,9
6172297-21667900-15,6172297,21667900,Ozark,1,9
6172297-21667900-30,6172297,21667900,Ozark,1,9
6172297-21667900-25,6172297,21667900,Ozark,1,9
6172298-21667900-13,6172298,21667900,Ozark,1,10
6172298-21667900-25,6172298,21667900,Ozark,1,10
6172298-21667900-24,6172298,21667900,Ozark,1,10
6172298-21667900-28,6172298,21667900,Ozark,1,10
6215632-21667900-30,6215632,21667900,The Good Place,2,9
6215632-21667900-13,6215632,21667900,The Good Place,2,9
6215632-21667900-15,6215632,21667900,The Good Place,2,9
6215635-21667900-13,6215635,21667900,The Good Place,2,11
