episode_id,updated_at,episode_season_number,episode_number,user_id,show_character_id,created_at,fb_action_id,tv_show_name
5114293,2019-09-07 11:45:16,1,4,21667900,65235974,2019-09-07 11:45:16,,Better Call Saul
5114294,2019-09-08 05:02:10,1,5,21667900,65235974,2019-09-08 05:02:10,,Better Call Saul
5126774,2019-09-08 10:08:25,1,6,21667900,65235978,2019-09-08 10:08:25,,Better Call Saul
5126775,2019-09-08 10:08:44,1,7,21667900,65235974,2019-09-08 10:08:44,,Better Call Saul
5126776,2019-09-09 16:19:18,1,8,21667900,65235974,2019-09-09 16:19:18,,Better Call Saul
5126777,2019-09-09 16:19:38,1,9,21667900,65235974,2019-09-09 16:19:38,,Better Call Saul
5242623,2018-11-02 11:43:25,1,2,21667900,65334473,2018-11-02 11:43:25,,American Crime Story
5245898,2018-12-09 10:04:22,1,1,21667900,64607387,2018-12-09 10:04:22,,The Man in the High Castle
5256066,2021-11-10 05:43:47,2,1,21667900,63359249,2021-11-10 05:43:47,,The Leftovers
5295146,2019-07-13 13:09:13,2,1,21667900,63639853,2019-07-13 13:09:13,,The Knick
5300871,2019-08-09 10:04:36,2,1,21667900,63319824,2019-08-09 10:04:36,,Fargo
5315387,2019-07-13 16:19:54,2,2,21667900,63639853,2019-07-13 16:19:54,,The Knick
5315388,2019-07-14 04:30:52,2,3,21667900,63639853,2019-07-14 04:30:49,,The Knick
5315389,2019-07-14 09:44:45,2,4,21667900,63639853,2019-07-14 09:44:45,,The Knick
5315390,2019-07-14 09:45:08,2,5,21667900,63639853,2019-07-14 09:45:08,,The Knick
5315391,2019-07-14 13:43:05,2,6,21667900,63639853,2019-07-14 13:43:05,,The Knick
5315392,2019-07-14 16:54:17,2,7,21667900,63639853,2019-07-14 16:54:17,,The Knick
5315393,2019-07-14 16:54:34,2,8,21667900,63639853,2019-07-14 16:54:34,,The Knick
5315394,2019-07-15 12:55:41,2,9,21667900,63639881,2019-07-15 12:55:39,,The Knick
5315395,2019-07-15 16:03:05,2,10,21667900,63639853,2019-07-15 16:03:05,,The Knick
5324526,2018-10-10 05:53:12,2,10,21667900,64353155,2018-10-10 05:53:12,,The Affair
5343365,2019-08-09 12:39:48,2,2,21667900,63319815,2019-08-09 12:39:48,,Fargo
5344820,2019-08-10 04:55:10,2,3,21667900,63319824,2019-08-10 04:55:10,,Fargo
5364427,2019-07-07 09:16:08,1,1,21667900,64620567,2019-07-07 09:16:08,,The Night Manager
