series_name,season_number,episode_number,user_id,episode_id,vote_key
Perfume (2018),1,1,21667900,6806407,6806407-21667900-29
Lucifer,4,2,21667900,6809752,6809752-21667900-3
Lucifer,4,3,21667900,6813799,6813799-21667900-3
Rascal Does Not Dream of Bunny Girl Senpai,1,2,21667900,6827062,6827062-21667900-3
Rascal Does Not Dream of Bunny Girl Senpai,1,3,21667900,6827063,6827063-21667900-3
Rascal Does Not Dream of Bunny Girl Senpai,1,4,21667900,6827064,6827064-21667900-29
Rascal Does Not Dream of Bunny Girl Senpai,1,5,21667900,6827065,6827065-21667900-29
Rascal Does Not Dream of Bunny Girl Senpai,1,6,21667900,6827066,6827066-21667900-3
Rascal Does Not Dream of Bunny Girl Senpai,1,7,21667900,6827067,6827067-21667900-3
Rascal Does Not Dream of Bunny Girl Senpai,1,9,21667900,6827068,6827068-21667900-29
Rascal Does Not Dream of Bunny Girl Senpai,1,8,21667900,6827069,6827069-21667900-3
The Marvelous Mrs. Maisel,2,1,21667900,6846157,6846157-21667900-20
Les Misérables (2018),1,1,21667900,6866370,6866370-21667900-5
Les Misérables (2018),1,1,21667900,6866370,6866370-21667900-29
Les Misérables (2018),1,2,21667900,6866371,6866371-21667900-3
Les Misérables (2018),1,3,21667900,6866372,6866372-21667900-3
Les Misérables (2018),1,4,21667900,6866374,6866374-21667900-29
Les Misérables (2018),1,4,21667900,6866374,6866374-21667900-3
Les Misérables (2018),1,4,21667900,6866374,6866374-21667900-5
Les Misérables (2018),1,5,21667900,6866375,6866375-21667900-3
Les Misérables (2018),1,6,21667900,6866376,6866376-21667900-3
Marvel's Daredevil,3,13,21667900,6869215,6869215-21667900-3
Outlander,4,6,21667900,6879272,6879272-21667900-19
Outlander,4,7,21667900,6879274,6879274-21667900-20
Outlander,4,8,21667900,6891638,6891638-21667900-18
Outlander,4,9,21667900,6891642,6891642-21667900-20
Rascal Does Not Dream of Bunny Girl Senpai,1,13,21667900,6895534,6895534-21667900-3
This Is Us,3,10,21667900,6898824,6898824-21667900-19
Better Than Us,1,4,21667900,6901192,6901192-21667900-3
Vikings,5,12,21667900,6905974,6905974-21667900-20
Vikings,5,13,21667900,6905975,6905975-21667900-20
Vikings,5,14,21667900,6905976,6905976-21667900-19
Vikings,5,15,21667900,6905977,6905977-21667900-19
The Marvelous Mrs. Maisel,2,2,21667900,6909600,6909600-21667900-19
The Marvelous Mrs. Maisel,2,3,21667900,6909602,6909602-21667900-19
The Marvelous Mrs. Maisel,2,4,21667900,6909603,6909603-21667900-19
The Marvelous Mrs. Maisel,2,5,21667900,6909605,6909605-21667900-20
The Marvelous Mrs. Maisel,2,6,21667900,6909606,6909606-21667900-19
The Marvelous Mrs. Maisel,2,7,21667900,6909607,6909607-21667900-20
The Marvelous Mrs. Maisel,2,8,21667900,6909608,6909608-21667900-19
The Marvelous Mrs. Maisel,2,8,21667900,6909608,6909608-21667900-18
The Marvelous Mrs. Maisel,2,8,21667900,6909608,6909608-21667900-20
The Marvelous Mrs. Maisel,2,9,21667900,6909609,6909609-21667900-20
The Marvelous Mrs. Maisel,2,10,21667900,6909610,6909610-21667900-20
Stranger Things,3,1,21667900,6933995,6933995-21667900-29
Stranger Things,3,2,21667900,6933996,6933996-21667900-3
Stranger Things,3,3,21667900,6933997,6933997-21667900-3
Stranger Things,3,4,21667900,6933998,6933998-21667900-3
Stranger Things,3,5,21667900,6934000,6934000-21667900-3
Stranger Things,3,6,21667900,6934001,6934001-21667900-3
Stranger Things,3,7,21667900,6934002,6934002-21667900-3
Stranger Things,3,8,21667900,6934003,6934003-21667900-3
Russian Doll,1,1,21667900,6937767,6937767-21667900-28
Russian Doll,1,1,21667900,6937767,6937767-21667900-4
This Is Us,3,11,21667900,6939920,6939920-21667900-20
This Is Us,3,12,21667900,6939922,6939922-21667900-19
